model_key	phase	method	score_type	direction	src_lang	tgt_lang	examples	aligned_score_mean	aligned_score_std	hard_negative_score_mean	margin_mean	margin_min	recall_at_1	recall_at_5	recall_at_10	mrr	median_rank	hubness_at10_max_rate	hubness_at10_gini
align_mlm200	mlm200	align	centered_csls_k10	chr->ake	chr	ake	673	-0.345866	0.206644	0.042862	-0.388728	-1.12642	0.014859	0.044577	0.066865	0.03981	164.0	0.118871	0.55417
align_mlm200	mlm200	align	raw_cosine	chr->bsn	chr	bsn	629	0.990624	0.001171	0.992286	-0.001662	-0.004585	0.0	0.009539	0.025437	0.012935	252.0	0.936407	0.969154
align_mlm200	mlm200	align	centered_cosine	chr->bsn	chr	bsn	629	0.095604	0.15499	0.378918	-0.283314	-0.761988	0.004769	0.023847	0.034976	0.022609	187.0	0.27345	0.758096
align_mlm200	mlm200	align	csls_k10	chr->bsn	chr	bsn	629	-0.0029	0.001085	-0.001068	-0.001832	-0.006761	0.00159	0.012719	0.027027	0.016666	227.0	0.759936	0.944279
align_mlm200	mlm200	align	centered_csls_k10	chr->bsn	chr	bsn	629	-0.422201	0.251291	0.02052	-0.442721	-1.424704	0.00318	0.019078	0.041335	0.023161	182.0	0.122417	0.529552
align_mlm200	mlm200	align	raw_cosine	chr->cop	chr	cop	678	0.998808	0.000933	0.999443	-0.000635	-0.014925	0.0059	0.022124	0.051622	0.028393	145.0	0.247788	0.788278
align_mlm200	mlm200	align	centered_cosine	chr->cop	chr	cop	678	0.393047	0.34332	0.749812	-0.356765	-1.558546	0.010324	0.036873	0.060472	0.034325	141.0	0.064897	0.385681
align_mlm200	mlm200	align	csls_k10	chr->cop	chr	cop	678	-0.001314	0.001238	-0.000193	-0.001121	-0.017378	0.011799	0.025074	0.056047	0.032405	142.0	0.207965	0.728247
align_mlm200	mlm200	align	centered_csls_k10	chr->cop	chr	cop	678	-0.694902	0.588589	0.007711	-0.702613	-3.110137	0.007375	0.033923	0.058997	0.031218	131.0	0.048673	0.301617
align_mlm200	mlm200	align	raw_cosine	chr->kbh	chr	kbh	501	0.988982	0.001365	0.991003	-0.002022	-0.004595	0.001996	0.015968	0.031936	0.018269	195.0	0.992016	0.970776
align_mlm200	mlm200	align	centered_cosine	chr->kbh	chr	kbh	501	0.102862	0.135739	0.354872	-0.25201	-0.776394	0.013972	0.041916	0.05988	0.040619	123.0	0.263473	0.736568
align_mlm200	mlm200	align	csls_k10	chr->kbh	chr	kbh	501	-0.003425	0.001261	-0.001321	-0.002104	-0.00488	0.005988	0.01996	0.041916	0.023576	175.0	0.796407	0.950336
align_mlm200	mlm200	align	centered_csls_k10	chr->kbh	chr	kbh	501	-0.349676	0.22306	0.032526	-0.382202	-1.325084	0.017964	0.053892	0.075848	0.045476	117.0	0.135729	0.50202
align_mlm200	mlm200	align	raw_cosine	chr->nhg	chr	nhg	673	0.989827	0.001439	0.991863	-0.002036	-0.004719	0.001486	0.023774	0.032689	0.017641	267.0	0.998514	0.975279
align_mlm200	mlm200	align	centered_cosine	chr->nhg	chr	nhg	673	0.122363	0.131926	0.365603	-0.243241	-0.678496	0.014859	0.031204	0.052006	0.033843	145.0	0.221397	0.761223
align_mlm200	mlm200	align	csls_k10	chr->nhg	chr	nhg	673	-0.003379	0.001344	-0.001309	-0.00207	-0.005768	0.001486	0.022288	0.038633	0.019622	226.0	0.870728	0.962231
align_mlm200	mlm200	align	centered_csls_k10	chr->nhg	chr	nhg	673	-0.344701	0.204929	0.032046	-0.376748	-1.20325	0.011887	0.032689	0.069837	0.035384	140.0	0.123328	0.530968
