model_key	run_name	record_index	step	total_steps	loss	learning_rate	epoch	log_path
v5_random	v5_random_mlm_10k	86	8600	10000	3.0954	7.0300000000000005e-06	0.48	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	87	8700	10000	3.1018	6.53e-06	0.48	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	88	8800	10000	3.0919	6.03e-06	0.49	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	89	8900	10000	3.0863	5.53e-06	0.5	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	90	9000	10000	3.0922	5.03e-06	0.5	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	91	9100	10000	3.0873	4.53e-06	0.51	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	92	9200	10000	3.0753	4.03e-06	0.51	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	93	9300	10000	3.0759	3.53e-06	0.52	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	94	9400	10000	3.0838	3.0300000000000002e-06	0.52	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	95	9500	10000	3.0814	2.53e-06	0.53	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	96	9600	10000	3.0854	2.03e-06	0.53	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	97	9700	10000	3.0782	1.53e-06	0.54	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	98	9800	10000	3.0755	1.03e-06	0.55	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	99	9900	10000	3.0863	5.3e-07	0.55	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	100	10000	10000	3.072	3e-08	0.56	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_fvt	v5_fvt_mlm_10k	1	100	10000	5.1318	4.9525000000000004e-05	0.01	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	2	200	10000	3.8311	4.9025000000000006e-05	0.01	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	3	300	10000	3.688	4.8525e-05	0.02	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	4	400	10000	3.617	4.8025e-05	0.02	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	5	500	10000	3.5744	4.7525e-05	0.03	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	6	600	10000	3.5396	4.7025000000000005e-05	0.03	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	7	700	10000	3.4956	4.6525e-05	0.04	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	8	800	10000	3.4679	4.6025e-05	0.04	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	9	900	10000	3.4399	4.5525e-05	0.05	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	10	1000	10000	3.4124	4.5025000000000003e-05	0.06	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	11	1100	10000	3.3923	4.4525e-05	0.06	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	12	1200	10000	3.3531	4.4025e-05	0.07	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	13	1300	10000	3.3494	4.352500000000001e-05	0.07	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	14	1400	10000	3.3214	4.3025e-05	0.08	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	15	1500	10000	3.296	4.2525000000000004e-05	0.08	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	16	1600	10000	3.2825	4.2025000000000005e-05	0.09	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	17	1700	10000	3.2768	4.1525e-05	0.09	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	18	1800	10000	3.2514	4.1025e-05	0.1	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	19	1900	10000	3.24	4.0525e-05	0.11	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	20	2000	10000	3.2216	4.0025000000000004e-05	0.11	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	21	2100	10000	3.2045	3.9525e-05	0.12	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	22	2200	10000	3.1905	3.9025e-05	0.12	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	23	2300	10000	3.1678	3.8525e-05	0.13	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	24	2400	10000	3.166	3.8025e-05	0.13	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	25	2500	10000	3.1409	3.7525e-05	0.14	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	26	2600	10000	3.1367	3.7025000000000005e-05	0.14	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	27	2700	10000	3.1269	3.652500000000001e-05	0.15	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	28	2800	10000	3.1034	3.6025e-05	0.16	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	29	2900	10000	3.1031	3.5525e-05	0.16	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	30	3000	10000	3.0822	3.5025000000000004e-05	0.17	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	31	3100	10000	3.083	3.4525e-05	0.17	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	32	3200	10000	3.0746	3.4025e-05	0.18	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
v5_fvt	v5_fvt_mlm_10k	33	3300	10000	3.0557	3.3525e-05	0.18	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_fvt_mlm_10k_20260627_203139.log
